EMPNO,ENAME,SAL,COMM,JOB,TRATE,NETSAL,TSAL,TAX,DEPTNO
7499.0,ALLEN,1600.0,300.0,SALESMAN,0.3,1420.0,1900.0,480.0,30.0
7521.0,WARD,1250.0,500.0,SALESMAN,0.3,1375.0,1750.0,375.0,30.0
7566.0,JONES,2975.0,0.0,MANAGER,0.2,2380.0,2975.0,595.0,20.0
7654.0,MARTIN,1250.0,1400.0,SALESMAN,0.3,2275.0,2650.0,375.0,30.0
7698.0,BLAKE,2850.0,0.0,MANAGER,0.3,1995.0,2850.0,855.0,30.0
7782.0,CLARK,2450.0,0.0,MANAGER,0.1,2205.0,2450.0,245.0,10.0
7839.0,KING,5000.0,0.0,PRESIDENT,0.1,4500.0,5000.0,500.0,10.0
7844.0,TURNER,1500.0,0.0,SALESMAN,0.3,1050.0,1500.0,450.0,30.0
7902.0,FORD,3000.0,0.0,ANALYST,0.2,2400.0,3000.0,600.0,20.0
1000.0,SAN,2300.0,0.0,,0.3,1610.0,2300.0,690.0,40.0
